Topic,Prompt,Paragraph ID,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10
virus,How does a virus infect an animal?,834,A virus enters a host body.,The virus has receptors that lock onto a target cell.,The virus enters the cell.,The virus uses the cell like a factory to make new copies of the virus.,The new copies of the virus leave the cell.,Infect other cells.,The host gets sick as its cells are damaged.,,,
electromagnet,How does an electromagnet work?,842,Electromagnet creates magnetic field with electricity.,Conductive copper wire is wrapped around a piece of metal.,An electric current gets introduced from power source.,Flows through the wire.,Magnetic field gets created in the wire.,And the metal gets magnetized.,When turned off it is no longer magnetic.,,,
electromagnet,How does an electromagnet work?,844,"A conducting metal, like copper, is wrapped around a piece of metal.","An electrical source, like a battery, produces an electrical current.",The electrical current flows through the wire.,"The electrical current creates a magnetic field around the wire, magnetizing the metal.",The magnetic field can be turned on and off by starting or stopping the electricity source.,,,,,
blood,How does blood remove waste from the human body?,846,Blood delivers oxygen in the body.,Proteins and acids are broken down in the liver.,The liver releases waste in the form of urea.,The blood carries the urea and carbon dioxide to the kidneys.,The kidneys strain the urea and salts needed from the blood.,The carbon dioxide by product is transported back to the lungs.,Carbon dioxide is exhaled by the lungs.,,,
transport,How does coal get from the ground to a power station?,852,A machine called a pulverizer grinds the coal into a fine powder.,"The coal powder mixes with hot air, which helps the coal burn more efficiently, and the mixture moves to the furnace.","The burning coal heats water in a boiler, creating steam.","Steam released from the boiler powers an engine called a turbine, transforming heat energy from burning coal into mechanical energy that spins the turbine engine.","The spinning turbine is used to power a generator, a machine that turns mechanical energy into electric energy.",This happens when magnets inside a copper coil in the generator spin.,"A condenser cools the steam moving through the turbine. As the steam is condensed, it turns back into water.","The water returns to the boiler, and the cycle begins again.",,
mold,How does mold grow on bread?,867,A mold spore floats through the air.,The spore lands on a piece of bread.,The spore grows hyphae into the bread.,The mold forms a colony.,Sporangiophores grow upward.,The mold sends out spores.,,,,
gasoline,How does oil get from the ground to a gas station?,872,A rig drills into the earth where oil is present.,A pipe is placed in the hole.,A pump is added to the pipe.,Oil is pumped out.,Oil is placed in barrels.,Barrels are loaded on trucks.,Trucks go to a refinery.,Crude oil is refined to motor oil.,Motor oil is bottle.,Shipped to gas stations.
gasoline,How does oil get from the ground to a gas station?,873,The oil is extracted either onshore or offshore by large oil rigs.,Crude oil is transported to a refinery.,The refinery turns the crude oil into gasoline.,The gasoline is loaded onto tank trucks.,The tank trucks go to gas stations all over the place.,The gasoline is delivered to the gas station.,,,,
gasoline,How does oil get from the ground to a gas station?,874,The oil needs to be pumped from the ground.,After it is pumped it then is transported to a factory.,In the factory the oil is processed and turned into fuel.,Once the fuel is refined it is then sent to a truck.,By truck the fuel is sent to the gas station.,,,,,
rain,How does rain form?,876,Water vapor gets into the atmosphere through a process called evaporation.,"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",The water vapor rises in the atmosphere and there it cools down.,Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,These then turn into clouds.,"When they all combine together, they grow bigger and are too heavy to stay up there in the air.","This is when they will fall to the ground as rain, or maybe snow or hail by gravity.",,,
rain,How does rain form?,877,Warm air from the surface rises into the higher cold air.,The water vapor in the air is condensed.,The condensed water and dust forms a cloud.,Wind in the cloud bounces the water droplets around.,The bouncing droplets join together.,The bigger droplets get heavy.,The heavy droplets fall.,"As they fall, they join with more moisture in the air.",The droplets get larger.,Rain falls.
rain,How does rain occur?,879,Warm water rises off the seas.,The water condenses as it cools and gets higher in the air.,Then the condensation forms into clouds.,The clouds travel over areas on land.,The clouds reach a saturation point.,The water falls from the clouds.,,,,
rain,How does rain occur?,880,Water evaporates and becomes gaseous.,The vapor goes into the air.,And the rain becomes clouds in the atmosphere.,The clouds become too heavy and it starts to fall.,It becomes rain.,,,,,
recycling,How does recycling work?,882,Items that can be reused are placed into recycling containers.,Recycling trucks pick up the items that are able to be reused.,The recyclable items travel to a recycling plant.,The items are sorted by what they are made of.,The items are broken down into small parts.,The small parts are melted to make new raw parts.,The raw parts are sold to manufactures to make new items.,,,
snow,How does snow form?,892,Water in the clouds becomes very cold.,The cold water forms ice crystals.,The ice crystals grow by absorbing surrounding water droplets.,Form snowflakes.,The snowflakes fall to the ground.,,,,,
insulin,How does the body control its blood sugar level?,893,Blood sugar levels increase after a meal.,Cells in the pancreas release insulin.,Insulin causes the body to absorb glucose from the blood.,Blood sugar goes back to normal.,Blood sugar is too low.,The amount of insulin goes down.,Cells in the pancreas release glucagon.,The liver turns stored glycogen into glucose.,The liver releases the glucose into the blood.,Blood sugar goes back to normal.
insulin,How does the body control its blood sugar level?,894,The blood sugar drops in a body.,Cells in the pancrease release glucagon.,The liver in response turns the glucagon into glucose.,And releases it into the blood.,The blood sugar levels are restored.,,,,,
heart,How does the heart work?,896,Oxygen-depleted blood enters the heart on the right atrium.,The atrium contracts.,Blood flows from your right atrium into your right ventricle through the open tricuspid valve.,"When the ventricle is full, the tricuspid valve shuts.",The ventricle contracts.,"Blood leaves the heart through the pulmonic valve, into the pulmonary artery and to the lungs.",The lungs oxygenate the blood.,The oxygenated blood goes into the left atrium.,The left atrium sends the blood throughout the body.,
auditory,How does the human auditory system work?,900,The outer ear collects sound waves.,The sound waves travel from the outer ear to the middle ear.,The eardrum changes the sound waves into vibrations.,"The hammer, anvil, and stirrup bones vibrate.",The sound moves to the inner ear.,The sound enters the liquid-filled cochlea.,The cochlea vibrates.,Small hairs in the cochlea move.,Nerve signals are created.,The brain understands the nerve signals as sound.
auditory,How does the human auditory system work?,901,Sound enters the ears of a person.,The sound hits a drum that is inside the ear.,The drum inside the ear converts the sound to electrical impulses.,The electrical impulses are sent to the brain.,The brain can decode the impulses into sound.,,,,,
vision,How does the human vision system work?,903,Visible light enters through the lens.,The light enters into the retina.,The light is absorbed by photoreceptor cells.,Which is turned into chemical energy.,The resulting information is interpreted by the brain as an image.,,,,,
vision,How does the human vision system work?,904,The cornea and lens refract light into a small image.,Shine it on the retina.,The retina's rods and cones convert it to electrical pulses.,The optic nerve carries electrical pulses through the optic canal.,Nerve fibers end in the lateral geniculate nucleus and the visual cortex.,,,,,
stomach,How does the stomach work?,905,"The saliva breaks down the chemicals in the food a bit, which helps make the food mushy and easy to swallow.","Your tongue helps out, pushing the food around while you chew with your teeth.",The esophagus moves food from the back of your throat to your stomach.,Strong muscles in the walls of the stomach and gastric juices break down food in your stomach.,Your stomach moves the food into the intestines to complete digestion.,,,,,
weathering,How does weathering cause rocks to break apart?,908,"When water freezes it becomes 10% bigger, or takes up 10% more space.","As water expands it puts great pressure on the walls of anything containing it, including any rocks which happen to be surrounding it.","The force of the pressure exerted on the rock surrounding it is enough to wedge the walls of the crack farther apart, thus expanding and deepening the crack.",Clay expends when wet like ice does.,This causes rock to break apart.,Some plants like mosses and lichens are capable of growing without soil on bare rock.,When they do this their roots penetrate pores and crevices and cause rocks to split apart as the roots force their way down through the rocks.,,,
sediment,How is sediment transported across the Earth?,915,Sediment transport is the movement of solid particles (sediment).,"The movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained.","Sediment transport occurs in natural systems where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay.","The fluid is air, water, or ice.",And the force of gravity acts to move the particles along the sloping surface on which they are resting.,"Sediment transport due to fluid motion occurs in rivers, oceans, lakes, seas, and other bodies of water due to currents and tides.",Transport is also caused by glaciers as they flow.,,,
sediment,How is sediment transported across the Earth?,916,Sediment becomes loose from the rest of the soil.,The sediment rolls down hill towards a river.,The heavy items sink to the bottom.,The lighter items float on the top and in convection cycles.,As the river flows the sediment is moved.,The sediment gets dumped through tributaries into lakes and the ocean.,The sediment keeps moving around the world in convection currents.,,,
earthquake,What causes an earthquake to occur?,917,Energy builds up in the crust of the earth.,The energy causes the fault lines give way.,The earth's plates move.,The energy radiates outward from the fault in all directions.,The seismic waves shake the earth as they move through it.,,,,,
earthquake,What causes an earthquake to occur?,919,Plates on the Earth's crust move slowly past each other.,"As the plates move, they exert a great force.","When the force is large enough, the crust breaks.",The stress is released as energy.,The energy moves through the Earth in the form of waves.,We feel the earthquake.,,,,
volcano,What causs a volcano to erupt?,920,Gases cause pressure beneath the earth.,The gases come to a head and push molten magma to the surface.,The magma cools.,With enough time the pressure builds up greatly.,The resulting volcano may explode.,,,,,
volcano,What causs a volcano to erupt?,921,Magma rises through cracks in the Earth's crust.,The pressure causes plates to move.,Magma explodes to the surface.,The lava from the eruption cools to form new crust.,"After several eruptions, the rock builds up and a volcano forms.",,,,,
volcano,What causs a volcano to erupt?,922,Magma is formed when rock melts inside the Earth's crust.,Magma rises.,Collects inside magma chambers underneath a volcano.,Pressure builds in the magma chambers as they fill.,Gain energy for eruption.,Some of the energy is converted into seismic activity (earthquakes).,If the magma building in the volcano is thick and sticky it will trap gases.,Results in an explosive eruption when the pressure becomes too intense.,If the magma is thin and runs.,"The magma results in a low-pressure, slow-moving flow of magma instead of a violent eruption."
lungs,What do lungs do?,923,Air is pulled into the lungs.,Oxygen moves from the lungs into the bloodstream.,Air is pushed through the vocal chords.,A person talks.,Other air is pushed out of the lungs into the environment.,,,,,
lungs,What do lungs do?,924,You inhale.,The air enters the mouth and nose.,The diaphragm contracts.,Air fills all the sacks in the lungs.,Oxygen passes through the sacks into capillaries.,The blood is passed to the blood in the capillaries.,The blood carries the oxygen to the heart.,The heart pumps the oxygenated blood to the body.,,
lungs,What do lungs do?,925,He air we breathe contains oxygen and other gases.,"Once in the lungs, oxygen is moved into the bloodstream and carried through your body.","At each cell in your body, oxygen is exchanged for a waste gas called carbon dioxide.",Your bloodstream then carries this waste gas back to the lungs where it is removed from the blood stream and then exhaled.,"Your lungs and respiratory system automatically perform this vital process, called gas exchange.",,,,,
flood,What happens during a flood?,927,There is a lot of rain within a short period of time.,The ground tries to absorb as much rain water as it can.,The ground becomes saturated with rain water and cannot absorb anymore.,Water begins flowing above the ground instead of dropping into the soil.,"The water carves away land, plants, and trees.",It causes destruction as it travels.,,,,
volcanic eruption,What happens during a vocanic eruption?,930,A magma chamber forms under the ground.,As the magma gets pressure it travels upwards.,The magma finds the weakest point in the volcano.,The magma under pressure erupts through that point.,The magma turns to lava in the air and travels down the volcano.,,,,,
volcanic eruption,What happens during a vocanic eruption?,931,Magma rises through surrounding rock.,"Gas bubbles form and expand, causing lots of pressure.","This pressure pushes the magma through weak spots in the earth's surface,.",Magma flows out as lava.,This can happen slowly or in a huge explosion.,,,,,
weathering; chemical,What happens during chemical weathering?,932,Water flows by rocks.,Chemicals are in the waters.,Chemicals react with rocks.,Rocks change to a different kind of rock.,Oxygen in the air reacts with rocks.,Rocks change to a different kind of rock.,,,,
weathering; chemical,What happens during chemical weathering?,933,Water is introduced to carbon dioxide.,The water becomes acidic.,The water seeps down to a mineral based material.,The acidity of the water carves and shapes the rock.,And may form geological phenomenon.,,,,,
erosion by ocean,What happens during erosion by the ocean?,935,Ocean waves hit land.,Ocean water pulls sand off of beaches.,Ocean water breaks rocks off of cliffs.,Ocean water carries sand and rocks into the ocean.,Sand and rocks go to other land or the bottom of the ocean.,,,,,
erosion by ocean,What happens during erosion by the ocean?,936,Waves hit the coast.,Waves have energy that pushes the water and sediment.,The sediment can help erode land like sandpaper.,Water washes the sediment back.,Some sediment is left as sand.,,,,,
photosynthesis,What happens during photosynthesis?,938,Light energy is absorbed by chlorophyll in a plant.,The light energy is used to convert carbon dioxide.,The plant uses nutrients in the soil.,The plant uses carbon dioxide in the air to produce glucose.,The plant uses the glucose to give itself energy.,Oxygen is released as a by product.,,,,
photosynthesis,What happens during photosynthesis?,939,Carbon dioxide from the air passes through small pores (holes) in the leaves.,These pores are called stomata.,Water is absorbed by the roots.,It passes through vessels in the stem on its way to the leaves.,Sunlight is absorbed by a green chemical in the leaves.,,,,,
photosynthesis,What happens during photosynthesis?,940,Carbon dioxide enters the leaves through the stomates by diffusion.,Water is transported to the leaves in the xylem.,Energy harvested through light reaction is stored by forming ATP.,Carbon dioxide and energy from ATP are used to create sugar.,Oxygen exits the leaves through the stomata by diffusion.,The plant reuses the water or the water exits through the stomata as water vapor.,,,,
respiration,What happens during respiration?,941,The diaphragm contracts.,The lungs expand.,"Air is pulled from outside the body, into the lungs.",The membranes in the lungs collect oxygen molecules.,Oxygen is transferred to red blood cells.,Red blood cells distribute oxygen throughout the body.,,,,
respiration,What happens during respiration?,942,Air is taken through the mouth.,Enters the lungs.,The oxygen fills the sacs in your lungs.,Carbon dioxide is removed from the lungs and exhaled.,The oxygen is pass throughout your body.,,,,,
water cycle,What happens during the water cycle?,947,Evaporation of water at a surface turns into water vapors.,Rises into the Earth's atmosphere.,Condensation occurs when water vapor turns into tiny particles of water/ice.,And form together into clouds or fog.,Precipitation of rain/snow occurs when wind/temperatures change.,Fallen rain or snow collects into surface water which will evaporate into water vapor again.,,,,
water cycle,What happens during the water cycle?,948,Water evaporates from the earth.,The evaporated water condenses into water drops.,The water drops fall back to earth.,The water accumulates on the earth.,The water collects into bodies of water.,The water soaks into the earth.,,,,
water cycle,What happens during the water cycle?,949,Water from a lake or ocean evaporates.,The water vapor enters the atmosphere.,The water vapor accumulates.,The vapor becomes clouds.,The clouds become too heaavy.,Precipitation occurs.,,,,
weathering,What happens during weathering?,950,Water gets into cracks in rocks.,The water freezes into ice.,The cracks expand.,Over time the rocks split.,The rocks are now in smaller pieces.,,,,,
coal heating,Describe the process of using coal to heat a house.,960,Coal is mined out of the ground.,Coal is pulverized into fine powder.,The coal is mixed with hot air.,The coal and hot air are blown into a boiler.,The coal and hot air burn over a fire.,Highly purified water is pumped through pipes in the boiler.,The water turns into steam.,The steam presses against turbines.,The turbines spin.,Electricity is produced.
coal heating,Describe the process of using coal to heat a house.,961,A type of coal must be chosen before the heating can start.,The coal is broken down to a smaller material.,The coal particles mix with hot air and move in to a boiler.,Water in the boiler is pumped and produces steam with the coal.,"Steam powers turbine blades, which magnetically charge wire coals.",The water returns back in to its chamber and the process is repeated.,,,,
acid rain,How does coal contribute to acid rain?,977,People dig up coal from the ground.,People burn coal for heat or electricity.,Pollution from the coal goes into the sky.,Coal pollution enters clouds.,Clouds rain over an area.,The polluted rain becomes acid rain.,,,,
acid rain,How does coal contribute to acid rain?,978,Coal is burned.,Sulfur in the coal combines with oxygen to form sulfur oxides.,The sulfur oxides are released into the atmosphere.,The sulfides combine with oxygen in the atmosphere to form sulfur trioxide.,"The sulfur trioxide reacts with water in the atmosphere to form sulfuric acid, a very strong acid.",The sulfuric acid makes the rain acidic.,,,,
greenhouse gases,How do greenhouse gases form?,996,People breathe and expel carbon dioxide.,Engines produce carbon dioxide.,Living things produce waste.,Waste decomposes.,Decomposition produces methane.,Water evaporates.,Water vapor joins the atmosphere.,"Carbon dioxide, water vapor and methane are greenhouse gases.",,
washing machine,How do you use a washing machine?,1002,Add dirty laundry to the washing machine.,Add laundry detergent to the washing machine.,Select the setting for the load of laundry.,Close the door of the washing machine.,Turn on the washing machine.,,,,,
ice cubes,How do you make ice cubes?,1004,Take out an ice cube tray.,Fill the tray with water from the faucet.,Put the ice cube tray in the freezer.,Wait for several hours.,The water will freeze and become ice.,Remove the ice cube tray from the freezer.,Remove the ice cubes from the tray.,,,
ice cubes,How do you make ice cubes?,1005,You take a tray.,Add water into the tray.,You insert the tray into a freezer.,The water molecules begin to slow down.,The water becomes ice.,The ice cubes are ready.,,,,
bacteria,How do bacteria break down dead plants?,1007,A plant dies and withers.,The dead plant starts to draw microbes.,The microbes break down the material.,Forms decay.,The resulting material disappears.,The plant becomes one with the soil.,,,,
bacteria,How do bacteria break down dead plants?,1008,A plant dies.,Bacteria from the ground migrate to the plant material.,Bacteria release enzymes onto the plant material.,The enzymes break down the plant cells to simpler components.,The bacteria absorb the resulting components.,,,,,
cake,Describe how to make a cake.,1014,Gather the ingredients for the cake.,"Mix the flour, sugar, egg, and water to make batter.",Pour the mixture into a cake pan.,Place the cake in the oven to cook.,Take the cake out when it is cooked through.,Let the cake cool.,Serve the cake.,,,
cake,Describe how to make a cake.,1015,To bake a cake you first need to gather your ingredients.,Preheat the oven to desired baking temperature.,Grease your preferred cake pan with crisco or butter or other non-stick spray.,Add eggs and vegetable oil to the dry ingredients.,Stir or whisk until all the dry flour has been absorbed.,Pour the batter into the greased cake pan.,Place cake pan into the oven for the required time.,"When a toothpick inserted into the cake comes out clean, the cake is done baking.",,
packing for vacation,Describe the typical steps involved in packing for a vacation.,1016,Determine the weather where you are going.,Pack essential items in your suitcase such as underwear/socks.,Pack weather appropriate clothing in the suitcase.,Always bring a jacket or two.,Always bring one semi-formal outfit for a nice dinner.,Zip up the bag and be ready to go.,,,,
repair bicycle tire,Describe the typical steps in repairing a flat bicycle tire.,1025,Turn the bicycle upside down.,Remove the nuts that hold the wheel to the bike.,Take the tire off of the wheel.,Patch the hole in the tire or replace with a new tire on the wheel.,Replace the wheel on the bike.,Secure the wheel with nuts.,,,,
oil heating,Describe the process of using oil to heat a house.,1028,The thermostat senses that the temperature has dropped.,A signal is sent to the heating system.,Heating oil travels from the tank to the burner.,The oil becomes a fine mist mixed with air.,The oil/air combination is injected into the burner.,The burner is ignited in the combustion chamber.,The furnace heats the air.,The blower sends the heated air through the ducts.,The heated air comes out the vents and into the room.,
oil heating,Describe the process of using oil to heat a house.,1029,Oil is gathered through mining operations.,The oil is transported to stores.,Oil is purchased by homeowners.,Oil is placed into a stove in the house.,"The oil is lit on fire, and burns for a long time.",The warm air off of the oil travels through the house.,,,,
oil heating,Describe the process of using oil to heat a house.,1030,Your thermostat senses that the room temperature has fallen below your thermostat setting.,Your thermostat sends a signal to your heating system to provide heat for your home.,"When your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.",Here the oil becomes a fine mist mixed with air.,The fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.,"The warm air is disbursed through vents, hot water through baseboards, or by steam radiators.",,,,
fossil,How are fossils formed?,1031,A plant or animal dies in mud or soil.,The bones are all that remains.,Over time the bones are covered in sediment.,The sediment becomes rock.,The rock becomes a fossil.,,,,,
fossil,How are fossils formed?,1032,Most fossils formed when animals or plants die in wet environment.,The animals and plants are then buried in mud.,Soft tissues decompose.,Bones and hard tissues remain.,Sediment builds up over the remains over a period of time.,The sediment hardens into rock.,,,,
fossil,How are fossils formed?,1033,An animal dies.,The animal is buried fast under mud.,The soft parts of the animal's body rot away.,The mud around the skeleton turns into rock.,The skeleton dissolves.,A mold is left in the mud where the skeleton was.,,,,
dishwasher,How do you use a dishwasher?,1046,Open the Dishwasher.,Slide out the bottom rack.,Take a dirty plate.,Rinse the plate.,Place the dish in the rack.,Repeat leaving enough space for water to reach all items.,Fill the soap cup.,Turn on the dishwasher.,,
dishwasher,How do you use a dishwasher?,1047,Dirty dishes are rinsed.,Placed into the dishwasher.,A detergent is added to the detergent dispenser.,The dishwasher is closed.,The power is turned on.,"In about 1.5-2 hours, the dishes are clean.",,,,
dishwasher,How do you use a dishwasher?,1048,Rinse the dishes before placing them in a dishwasher.,Load glasses and plastic wear on the top rack.,"Put plates, bowls, pots, and pans on the bottom rack.",Place all the utensils in the utensil basket.,Put detergent into the detergent holder.,Close the door and push the start button.,,,,
rust,How does rust form?,1049,Water comes into contact with something made of iron.,The water combines with carbon dioxide in the air to form carbonic acid.,"As the acid is formed, the iron starts to dissolve.",Some of the water breaks down into hydrogen and oxygen.,The free oxygen and dissolved iron bond together.,"They form iron oxide, which is rust.",,,,
rust,How does rust form?,1051,Iron is exposed to oxygen.,Is exposed to air.,A chemical reaction occurs.,The iron starts to oxidize.,The iron starts to rust.,,,,,
greenhouse,How does a greenhouse stay warm?,1053,Sunlight passes through the glass into the greenhouse.,The plants and floor absorb the the sunlight.,The absorbed sunlight is converted to heat.,The heat cannot escape the glass.,The heat is trapped in the greenhouse.,The hot air rises.,The colder air at the top is pushed to the bottom.,The colder air is then warmed by the floor and the plants.,,
plant,How does a plant get nutrients from the soil?,1055,The roots are within the soil.,Water and nutrients move from the soil into the root structure.,The roots are selective on what can go through.,Only wanted elements are passed to within the plant.,The nutrients travels through the plants circulatory system.,,,,,
dishwasher,How does a dishwasher work?,1058,Water flows into the dishwasher.,The dishwasher heats the water.,The detergent dispenser opens at the right time.,Water is shot through the jets to clean the dishes.,The dirty water is drained.,More water is sprayed to rinse the dishes.,The water is drained again.,The air is heated in the dishwasher to dry the dishes.,,
dishwasher,How does a dishwasher work?,1059,Cold water taken in through a hose to the bottom.,Heating element heats water.,Pump forces water up in pipes connected to spinning paddles.,The forced water makes paddles spin like a sprinkler.,Water comes out of small holes in paddles.,Water is collected and used again until dishes are clean.,Water is drained through a filter.,Filter collects particles of food.,Water was so hot that it evaporates for dry dishes.,
dishwasher,How does a dishwasher work?,1060,Dirty dishes are placed in the dishwasher.,The dishwasher is closed.,The dishwasher heats water to a hotter temperature.,The dishwasher directs water toward the dishes through jets.,The dishwasher adds detergent.,The dirty water drains out.,The dishwasher sprays more water to rinse the dishes off.,The water drains out again.,The dishwasher directs warm air toward the dishes to dry them.,The dishes can be removed.
launching a satelite,Describe the steps in launching a satelite into space.,1061,You must decide the purpose of the satellite.,You must draw up a plan to what kind of orbit the satellite will travel.,You make preparations for the rocket that will travel into space.,Prepare the crew that will send it there.,You begin the countdown date for the rocket.,And then you send the rocket carrying the satellite into space.,Once in orbit the satellite will be placed where it was planned.,,,
launching a satelite,Describe the steps in launching a satelite into space.,1062,Build a satellite.,Attach a rocket.,Add rocket fuel.,Launch rocket.,Satellite goes into orbit.,,,,,
launching a satelite,Describe the steps in launching a satelite into space.,1063,A satellite's need is determined.,A group of people work to design a satellite capable of accomplishing the need.,A team designs the physical structure of the satellite.,A crew builds the physical satellite.,The satellite is packed into a capsule.,The satellite capsule is loaded onto a rocket.,The rocket is launched into space.,,,
mushroom,Describe the life cycle of a mushroom.,1064,Spores are dispersed into the air by a mature mushroom.,The spores fall to the ground.,The spores germinate.,The spores begin to grow mycelium.,The mycelium begin to sprout a bud.,A new mushroom is formed.,,,,
mushroom,Describe the life cycle of a mushroom.,1065,Adult mushrooms produce spores.,Release them into the air by process of sporulation.,Spores are carried by the wind.,Land in a hospitable growing environment.,The spores germinate into the soil.,The mushroom starts growing.,The adult mushroom produce spores of its own to repeat the process.,,,
mushroom,Describe the life cycle of a mushroom.,1066,A mushroom gives off gills lined with basidia.,The basidia gives off spores.,The spores germinate.,The spores create Hyphae.,Multiple Hyphae meet and converge.,They join with Mycelium.,A hyphal knot forms in the ground.,A primordia shoots out of the ground.,A mushroom cap is formed.,
lightning,How does lightning occur?,1073,There is a rain cloud in the sky.,Small bits of ice within the cloud bump each other.,The collisions create electrical charge.,"Lighter, positively charged particles sink to the bottom of the cloud.","Heavier, negatively charges particles rise to the top.","When the positive and negative charges grow large enough, a giant spark, called lightning occurs.",,,,
lightning,How does lightning occur?,1075,Ice forms inside a cloud.,Ice inside the cloud bumps around and causes electrostatic charges.,The cloud becomes a thundercloud.,Electrostatic energy builds and forms a strong negative charge.,Positive energy is attracted to the negative energy in the cloud.,This positive energy gathers on the ground.,The positive energy connects with the negative energy and forms lightning.,,,
DNA replication,Describe the process of DNA replication.,1077,The dna strand of a cell decides to replicate.,Chemicals in the strand break up the helix.,The helix is split into two.,The helix forms as the basis of a new dna strand.,The cell replicates.,,,,,
DNA replication,Describe the process of DNA replication.,1078,DNA replication is initiated by proteins.,The hydrogen bonds that hold together a strand of DNA are broken.,A polymerase reads each side of the strand.,Adds complimentary nucleotides.,"Once all the bases are matched, the new DNA strand is formed.",DNA ligase seals the new pieces into two new strands.,,,,
coal power plant,How does a coal-fired power plant work?,1080,Coal is put in a coal-fired steam station.,Water is put in pipes in the coal-fired steam station.,The coal is crushed.,The coal is moved into a boiler along with hot air.,The water is moving through pipes in the boiler.,The steam from the water is blown against a turning mechanism.,The force of the steam makes the mechanism turn.,The mechanism generates electricity.,,
coal power plant,How does a coal-fired power plant work?,1081,Coal is burned in a boiler.,Steam is produced under pressure.,Flows into a turbine.,The turbine spins.,Creates electricity.,,,,,
pumpkin,What are the steps involved in growing a pumpkin?,1083,First you dig a whole.,You place a pumpkin seed in the hole.,You put some dirt over the seed.,You water the seed.,The seed will sprout.,A vine will grow.,The vine will flower.,Pumpkins will appear where the flowers were.,,
pumpkin,What are the steps involved in growing a pumpkin?,1084,Get some pumpkin seeds.,Plant the pumpkin seeds in soil.,Water the plant if it starts to dry out.,Don't water directly on the leaves.,Male flowers appear.,Female flowers are open for one day.,Pumpkins mature 85-125 days after planting.,,,
camping,Describe the typical steps involved in camping.,1085,"Pack up your camping gear, food, and clothes.",Drive to your campsite.,Set up your tent.,Start a fire in the fire pit.,Cook your food in the fire.,Put the fire out when you are finished.,Go to sleep.,Wake up.,Put away your tent.,Drive home.
camping,Describe the typical steps involved in camping.,1086,One goes to a wilderness area.,One sets up a tent.,"One puts their clothes, sleeping bag, etc. into the tent.",One gathers firewood.,"One builds a fire for warmth, cooking, etc.",,,,,
camping,Describe the typical steps involved in camping.,1087,"You pack up your car with food, tents, sleeping bags, etc.",Drive to your camping spot.,Put up your tent.,Hide your food from bears.,Make a campfire.,Roast marshmellows.,Go to sleep in the tent.,Wake up and enjoy nature.,,
birthday party,Describe the typical steps in a kid's birthday party.,1091,Begin the party.,Partake in activities.,Bring out the cake.,"Sing ""Happy Birthday!"".",Blow out the candles.,Eat the cake.,Open the presents.,,,
white dwarf,How is a white dwarf star formed?,1094,A star forms.,The star does not have enough mass to become a neutron star.,The star goes through a change in its core and bonds helium to carbon and oxygen.,The star becomes a red giant.,A mass of carbon and oxygen builds up in the center of the star.,The star sheds its outside layers and becomes a nebula.,The star leaves behind the core which becomes a dwarf star.,,,
white dwarf,How is a white dwarf star formed?,1095,A star burns in space.,Eventually it burns all its hydrogen.,Becomes a red giant.,Once the red giant burns itself out.,The core of the star collapses.,The gasses will start to disperse.,Only the core is left.,A white dwarf has been formed.,,
white dwarf,How is a white dwarf star formed?,1096,A red giant burns mass.,This mass creates high core temperatures.,The mass decreases.,The red giant can no longer fuse the carbon and oxygen in its center.,The gravity of the star can no longer hold the outside layers.,The layers break away.,Only the inner core remains.,This inner core is known as a white dwarf.,,
vaccination,How do vaccinations work?,1099,You receive a vaccination through an injection or a nasal spray.,The vaccine contains a weakened version of the virus or bacteria responsible for the disease.,The body's immune system reacts to the virus or bacteria.,The immune system creates antibodies to fight the virus or bacteria.,The antibodies remain in the body.,The antibodies are ready to fight the disease if the person is infected with the disease.,,,,
mountain,How do mountains form?,1104,Techtonic plates in the earths crust move.,Movement creates fissures.,Upheavals in the crust.,Fissures allow lava to erupt into volcanoes at the surface.,"Volcanoes erupt, accumulating lava, forming mountains.",Upheavals in the crust become their own mountains.,,,,
mountain,How do mountains form?,1105,Pressure happens underground.,Tectonic plates underground pull and stretch.,Small cracks are formed in the earth's crust.,The tectonic plates push hard against each other.,Some parts of the earth's crust move up high above the ground.,,,,,
plant,Describe the life cycle of a plant.,1106,A plant produces a seed.,The seed falls to the ground.,The seed is buried.,The seed germinates.,A plant grows.,The plant produces flowers.,The flowers produce more seeds.,,,
plant,Describe the life cycle of a plant.,1107,A seed is in soil.,The seed germinates.,The plant grows roots.,The plant grows out of the ground.,The plant gets bigger.,The plant flowers.,The flower produces fruit.,The fruit releases seeds.,The plant dies.,
cave,How do caves form?,1112,Dissolution of limestone forms caves.,Rain gets carbon dioxide from the air.,When rain goes into soil it creates an acid.,The acid dissolves the limestone along cracks.,Some will dissolve enough to form caves.,,,,,
cave,How do caves form?,1113,Rainwater picks up carbon dioxide from the air.,Rainwater goes into soil.,Water with carbon dioxide percolates through soil.,The water becomes a weak acid.,The water dissolves limestone.,Caves form where the limestone was dissolved.,,,,
